task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
anka1246,russ1263,0.1621621621621621,0.0658112658112658,rus,1.0,0.3521
east2379,russ1263,0.2636363636363636,0.2314260603829981,rus,1.0,0.3773
amar1273,russ1263,0.1759259259259259,0.0917427088924673,rus,1.0,0.3225
achu1248,russ1263,0.209090909090909,0.1651456611902859,rus,1.0,0.4556
cent2084,russ1263,0.2685185185185185,0.220324414150104,rus,1.0,0.2275
amel1241,russ1263,0.1682242990654205,0.1303728683667018,rus,1.0,0.3468
ango1254,russ1263,0.1891891891891892,0.1121087260622144,rus,1.0,0.3339
ambu1247,russ1263,0.2363636363636363,0.1930402664852425,rus,1.0,0.3376
arif1239,russ1263,0.2162162162162162,0.1794041401884539,rus,1.0,0.3637
agut1237,russ1263,0.2342342342342342,0.185590744806431,rus,1.0,0.2477
anga1290,russ1263,0.1441441441441441,0.0638049814520402,rus,1.0,0.3531
achi1256,russ1263,0.2162162162162162,0.0982678718527775,rus,1.0,0.4218
inab1237,russ1263,0.2972972972972973,0.2620187187299697,rus,1.0,0.2505
agua1253,russ1263,0.2612612612612612,0.21048748385409,rus,1.0,0.4612
anem1248,russ1263,0.1809523809523809,0.1264939880290269,rus,1.0,0.3639
sain1246,russ1263,0.2882882882882883,0.2468246674830461,rus,0.907800018787384,0.3961
agar1252,russ1263,0.1351351351351351,0.0466036284218102,rus,1.0,0.3497
agua1252,russ1263,0.1818181818181818,0.0937023478089308,rus,1.0,0.4216
abau1245,russ1263,0.1711711711711711,0.1171455845124262,rus,1.0,0.3349
anga1290,dutc1256,0.1711711711711711,0.0828118259104174,nld,1.0,0.4598
east2379,dutc1256,0.3090909090909091,0.224649788128049,nld,1.0,0.4749
achu1248,dutc1256,0.3,0.1881509240360915,nld,1.0,0.3564
sain1246,dutc1256,0.2162162162162162,0.1777691977691977,nld,0.9386000037193298,0.2715
agua1253,dutc1256,0.2252252252252252,0.1319237108710793,nld,1.0,0.364
ango1254,dutc1256,0.1531531531531531,0.0866154920743528,nld,1.0,0.4473
anem1248,dutc1256,0.3047619047619048,0.2758620689655172,nld,1.0,0.4667
amar1273,dutc1256,0.2777777777777778,0.2026257267636577,nld,1.0,0.4377
anka1246,dutc1256,0.1531531531531531,0.0598837717826202,nld,1.0,0.4593
agar1252,dutc1256,0.2252252252252252,0.1199755285605842,nld,1.0,0.4575
abau1245,dutc1256,0.1981981981981982,0.1532449575045923,nld,1.0,0.448
ambu1247,dutc1256,0.1545454545454545,0.1045010351966873,nld,1.0,0.4496
agut1237,dutc1256,0.3513513513513513,0.2980323319875558,nld,1.0,0.384
achi1256,dutc1256,0.1981981981981982,0.1678338223229864,nld,1.0,0.3362
inab1237,dutc1256,0.2972972972972973,0.2701357466063348,nld,1.0,0.3866
arif1239,dutc1256,0.2792792792792792,0.1681498829039812,nld,1.0,0.4664
agua1252,dutc1256,0.1818181818181818,0.1323135177680632,nld,1.0,0.3375
cent2084,dutc1256,0.3055555555555556,0.2410118655558692,nld,1.0,0.3686
amel1241,dutc1256,0.1962616822429906,0.1452263148249954,nld,1.0,0.4555
cent2084,poli1260,0.2685185185185185,0.2217861444487461,pol,1.0,0.3443
achu1248,poli1260,0.2545454545454545,0.171456786664799,pol,1.0,0.3828
anga1290,poli1260,0.1711711711711711,0.0512165709016102,pol,1.0,0.444
amar1273,poli1260,0.2129629629629629,0.1485156605846261,pol,1.0,0.4163
agut1237,poli1260,0.2522522522522522,0.2169132727197243,pol,1.0,0.3595
agar1252,poli1260,0.1621621621621621,0.1298173424933988,pol,1.0,0.4415
achi1256,poli1260,0.2252252252252252,0.1213036936307376,pol,1.0,0.3627
ambu1247,poli1260,0.209090909090909,0.1703770796268754,pol,1.0,0.4325
agua1252,poli1260,0.1818181818181818,0.0986435786435786,pol,1.0,0.3638
east2379,poli1260,0.2181818181818181,0.1592860422405876,pol,1.0,0.4579
anem1248,poli1260,0.2285714285714285,0.1911502290812635,pol,1.0,0.4517
arif1239,poli1260,0.2702702702702703,0.2202254381210927,pol,1.0,0.4516
amel1241,poli1260,0.205607476635514,0.1404054922272929,pol,1.0,0.4394
sain1246,poli1260,0.2162162162162162,0.1827064112778398,pol,0.9175999760627747,0.3025
inab1237,poli1260,0.2612612612612612,0.236298070032182,pol,1.0,0.3632
agua1253,poli1260,0.2612612612612612,0.1693204193204193,pol,1.0,0.3899
abau1245,poli1260,0.2882882882882883,0.2293051249917029,pol,1.0,0.4304
ango1254,poli1260,0.1891891891891892,0.1098353011396489,pol,1.0,0.4297
anka1246,poli1260,0.1711711711711711,0.05003465003465,pol,1.0,0.4433
inab1237,croa1245,0.1981981981981982,0.1425650290788262,hrv,1.0,0.374
anka1246,croa1245,0.1801801801801801,0.066389638706257,hrv,1.0,0.4525
amel1241,croa1245,0.1682242990654205,0.0850856697819314,hrv,1.0,0.4491
achi1256,croa1245,0.1711711711711711,0.0670455401638197,hrv,1.0,0.3676
cent2084,croa1245,0.1851851851851851,0.1050965495409939,hrv,1.0,0.3563
agut1237,croa1245,0.2792792792792792,0.2035475546536516,hrv,1.0,0.369
achu1248,croa1245,0.1818181818181818,0.137049062049062,hrv,1.0,0.3798
agua1253,croa1245,0.1891891891891892,0.144536483367068,hrv,1.0,0.3865
amar1273,croa1245,0.1851851851851851,0.0754236017393912,hrv,1.0,0.4212
agar1252,croa1245,0.1441441441441441,0.0957641422757701,hrv,1.0,0.451
agua1252,croa1245,0.1818181818181818,0.0826143645795766,hrv,1.0,0.369
anga1290,croa1245,0.1621621621621621,0.049694856146469,hrv,1.0,0.4533
abau1245,croa1245,0.1891891891891892,0.10882053449634,hrv,1.0,0.4399
ango1254,croa1245,0.1711711711711711,0.0689748477359096,hrv,1.0,0.4392
