task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
yala1267,stan1293,0.2072072072072072,0.1305633266029305,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.2261138,0.1864,0.2528292455002171
nopa1235,stan1293,0.2162162162162162,0.1307652480066273,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.2444916,0.1864,0.22191262872125506
nort2959,stan1293,0.1574074074074074,0.0993558677520941,eng,1.0,0.4,0.69,1.0,0.5983,0.8,3.228187,0.1864,0.21222143780157032
cajo1238,stan1293,0.1621621621621621,0.0942757948368046,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.1182146,0.1864,0.2528292455002171
zaiw1241,stan1293,0.1531531531531531,0.1158469945355191,eng,1.0,0.4,0.9,1.0,0.5158,0.7,3.0867314,0.1864,0.2085103502026211
woun1238,stan1293,0.1636363636363636,0.1198151370160939,eng,1.0,0.4,0.81,0.5687,0.5594,0.7,3.1422436,0.1864,0.21526218121068807
dani1285,stan1293,0.2972972972972973,0.2623744133416126,eng,0.7322999835014343,0.0,0.5,0.5687,0.5983,0.7,2.8293679,0.0,0.16229917704959107
lati1261,stan1293,0.3963963963963964,0.3872014520812313,eng,0.904699981212616,0.1,0.69,0.5687,0.5983,0.8,3.0410135,0.1864,0.1787351935470377
cofa1242,stan1293,0.2342342342342342,0.1831760331760331,eng,0.9687,0.5,0.9,0.471,0.5986,0.7,3.0952528,0.1864,0.22401936669001765
high1243,stan1293,0.1891891891891892,0.0898425571485728,eng,1.0,0.4,0.79,0.5687,0.5983,0.9,3.07884,0.1864,0.21244673788646629
sara1327,stan1293,0.2432432432432432,0.2086210070321291,eng,1.0,0.6,0.76,0.8632,0.5983,0.8,3.1593049,0.1864,0.199252839113638
siri1274,stan1293,0.1891891891891892,0.1326376686283807,eng,1.0,0.4,0.9,0.5687,0.5811,0.7,3.2492962,0.1864,0.23436882254834268
subi1246,stan1293,0.2432432432432432,0.1870229202008016,eng,1.0,0.4,0.95,0.5687,0.4922,0.7,3.2654629,0.1864,0.18741644428310944
tung1290,stan1293,0.2702702702702703,0.2271620718829665,eng,1.0,0.7,0.66,0.5687,0.5983,0.8,3.235177,0.1864,0.19510909705977197
